"","Month","Mean","SD","CV","Median","IQR"
"1","Jan",1.72409696127744,9.47872283568064e-07,5.49778988570197e-05,1.72409696127744,6.70246919520778e-07
"2","Feb",15.4918511124144,1.92746977766812e-05,0.000124418299897262,15.4918511124144,1.36292695032125e-05
"3","Mar",58.0084485948643,0.000103235747478753,0.000177966744464689,58.0084485948643,7.29986970995355e-05
"4","Apr",51.3464874776212,0.000111763934700456,0.000217666173853016,51.3464874776212,7.90290361223356e-05
"5","May",29.8238895809101,7.68070588917051e-05,0.000257535351595683,29.8238895809101,5.43107921835428e-05
"6","Jun",34.2180399169062,8.8413569380367e-05,0.00025838291613157,34.2180399169062,6.25178344648702e-05
"7","Jul",19.3772842615906,5.12194606451719e-05,0.000264327343056522,19.3772842615906,3.62176279509185e-05
"8","Aug",64.9295833441381,0.000160371960818923,0.000246993670002353,64.9295833441381,0.000113400101000138
"9","Sep",67.4303488290171,0.00013417857314841,0.00019898840133342,67.4303488290171,9.48785789489648e-05
"10","Oct",29.0830840967541,4.2232140862084e-05,0.000145212043955123,29.0830840967541,2.98626331911578e-05
"11","Nov",16.4673645364024,2.07612044063637e-05,0.000126074845555701,16.4673645364024,1.46803884177871e-05
"12","Dec",4.0620557159871,5.81212349079905e-07,1.43083303065593e-05,4.0620557159871,4.10979192899674e-07
